content,translated_content
nomor polisi daftar ikut instruksi lampir bpkb stnk foto unit nomor polisi tolak aju banding,police number register follow instructions attach bpkb stnk photo unit police number reject appeal
unduh barcode verifikasi,download verification barcode
daftar kode qr beli bahan bakar minyak spbu tolong pandu,list of qr codes to buy fuel at gas stations please guide
manfaat,benefit
kali daftar verifikasi tolak nomor polisi sua foto mobil stnk,this time register verification reject police number su photo car stnk
salah sistem rahasia langkah kuti teliti salah simpul sengaja sulit,wrong secret system step follow carefully wrong knot intentionally difficult
oke,Okay
aplikasi mypertamina good,mypertamina good application
unit susah barcode,barcode hard unit
aplikasi error layan buruk bikin adu subsidi bantu,application error bad service make subsidy competition help
daftar qr susah gagal coba kali,qr list hard fail try again
daftar subsidi tepat sulit scan ktp langsung galeri ukur file foto batas mb foto ktp kali kali oke opsi ambil foto foto ktp unggah unggah foto surat surat pindai tolong opsi ambil galeri simpel meng unggah data,list of subsidies right difficult to scan ktp directly gallery measure photo file limit mb ​​ktp photo times okay option take photo ktp photo upload upload photo letter letter scan please option take gallery simple upload data
daftar otp bumn bikin anggar negara,BUMN OTP list creates state budget
,#VALUE!
oke,Okay
gagal verifikasi sih suruh barcode aplikasi error rakyat suruh layan bahan bakar minyak gin,"Failed to verify, asked for a barcode, application error, people told me to serve gin fuel"
,#VALUE!
perintah bikin rakyat susah suruh daftar oke ikut ehh aplikasi,"the order makes it difficult for the people to register, okay, join, eh, the application"
bantu,help
bagus,Good
kecewa buruk produk bumn sistem buruk masuk akal kronologi aplikasi unit gagal tolak alas nomor polisi daftar pom tugas kantor pom bilang salah samsat polda metro salah sistem inti isi pertalite saran terap bijak benar sistem,disappointed bad BUMN product bad system makes sense chronology application unit failed reject police number plate list petrol station duty station office says wrong samsat polda metro wrong core system fill pertalite advice apply wise correct system
praktis keren,practical cool
komentar kawan,friend's comment
kode qr aplikasi muncul kalimat halaman muat riwayat isi bahan bakar minyak muncul aplikasi,qr code application appears sentence page load history of filling fuel oil appears application
oke,Okay
sulit bayar hutang pakai barcode,hard to pay debt using barcode
buruk ulang ulang verifikasi gagal sinyal bagus foto lengkap verifikasi gagal kode otp pesan muncul hubung call center solusi suruh ulang ulang gagal verifikasi tolong aplikasi tinjau ulang server terima kasih,bad retry verification failed good signal complete photo verification failed otp code message appears contact call center solution ask to retry verification failed please application review server thank you
mantap poin,great point
aplikasi bos niat sih susah,Boss application is hard to do
serius aplikasi usaha buruk busuk error mana server lot data error malu sih,Seriously bad business application rotten error where server lot data error embarrassing
bantu,help
aplikasi bikin susah negara paksa rakyat orang beres,application makes it difficult for the country to force the people to get things done
cari qr kode pertalite putar buka web aplikasi,search for qr code pertalite turn open web application
aplikasi berat konsumen daftar nik ktp bpkb mobil bpkb leasing mobil lunas,consumer heavy application register nik ktp bpkb car bpkb car leasing paid off
mantap,Excellent
susah,difficult
bintang nol kasih mudah pasang aplikasi maksiat,zero stars give easy installation of sinful applications
oke,Okay
si sesuai nopal nomor polisi sesuai tengok capai daftar,"according to the police number plate, see the list"
mantap boss,great boss
,#VALUE!
aplikasi sial daftar susah guna susah,damn app register hard to use hard
good,good
oke,Okay
susah daftar gagal tradisi negara ampun,hard to register failed country tradition forgive me
daftar pakai eh hilang isi nik,register to use but the contents of the nik are missing
bagus,Good
mantap pokok mahh,really steady mahh
membntu,help
mohon baik aplikasi baru aplikasi error baru barcode,please good new application new application error barcode
keren,Cool
susah daftar daftar sistem,hard to register system list
sih isi bensin tuh pertalite kadang karyawan isi mobil kacau pertamina pakai barcode barcode biar jam isi bensin kecewa,"Well, fill up with Pertalite petrol, sometimes Pertamina employees fill up the car in a mess, use barcodes, so the petrol filling time is disappointing"
aplikasi cacat allah puluh kali foto stnk hasil,god defect application tens of times stnk photo results
erti fungsi aplikasi jual aplikasi biar unduh isi bahan bakar minyak sulit kali mesti tunjuk barcode beda tunjuk barcode barcode bahan bakar langka tolong bantu paham aplikasi lot kali,"Meaning of the function of the application selling applications so that downloading fuel oil is difficult, sometimes you have to show a different barcode, show a barcode, the fuel barcode is rare, please help understand the application, lots of times"
kaum rebah bikin aplikasi daftar kendala,The rebab people make an application to list obstacles
call center urut nomor tunggu jam tunggu,call center number sequence waiting time
qr mypertamina gagal notifikasi nik sesuai verifikasi daftar maksud website hasil nik daftar verifikasi,qr mypertamina failed notification nik according to verification list intent website results nik list verification
sulit aplikasi buat akun hasil,hard application to create account results
oke mypertamina,okay mypertamina
mudah isi praktis terima kasih,easy practical content thank you
bantu,help
buruk hapus mobil daftar repot beli bekas daftar,bad delete car list hassle buy used list
simpel,simple
bagus sih isi bensin keluar dompet paket data,It's good to fill up with petrol and data package from your wallet
sabtu jan jam isi pertalite ribu pakai barcode kuota habis pom isi tanggal jan isi,"Saturday Jan, fill up Pertalite, thousand, use barcode, quota runs out, filling station, January filling date"
aplikasi lot,lot application
isi volume silinder warna plat nomor aplikasi website,volume cylinder color number plate application website
terima kasih aplikasi mudah,thank you easy application
aplikasi sial,damn app
oke,Okay
mantap,Excellent
bayar bahan bakar minyak mudah,paying for fuel is easy
ganggu spbu jujur susah sulit,disturbing gas stations is honestly difficult
putar isi data ujung stnk salah roda daftar samsat sdm rendah makan uang pajak isi bensin putar,turn fill in the data end of the vehicle registration certificate wrong wheel register samsat low human resources eat tax money fill in petrol turn
verifikasi akun sukses klaim kode qr,account verification successful claim qr code
repot,hassle
good,good
kemarin daftar barcode kada luarsa login klaim barcode pusing,yesterday barcode list expired login claim barcode dizzy
praktis,practical
oke,Okay
aplikasi sulit daftar barcode,barcode list difficult application
mantap lancar jaya,"steady, smooth and victorious"
jumat berkah,Blessed Friday
mantap,Excellent
bagus,Good
bantu,help
overall oke,overall okay
need improvement,need improvement
mantap bantu,great help
mantap,Excellent
bantu,help
salah sistem tolong lh bantu,system error please help
oke,Okay
tugas ramah,friendly task
cepat antri,hurry up and queue
mantap,Excellent
nice bikin mudah bayar mantap dech mypertamina nice,"nice makes it easy to pay, great mypertamina nice"
stres pakai aplikasi posting ktp gagal langsung ambil foto galeri uk batas bodoh sengaja susah,"stress using the KTP posting application failed to immediately take a photo from the gallery, the limit is stupid, it's deliberately difficult"
susah daftar kendara,hard to register vehicle
bikin susah bantu rakyat indonesia,make it difficult to help the Indonesian people
,#VALUE!
unduh prioritas mah,download priority mah
,#VALUE!
abu abdillah kaibon barokallohufikum,"Abu Abdullah Kaibon, may Allah bless him and grant him peace"
hasil kirim data smp pakai handphone hasil jaring kuat jaring perangkat kirim keluh atensi,"results of sending data from junior high school using a cellphone, the results of the network are strong, the network device sends complaints, attention"
tolong bantu mudah daftar nasib orang beli kendara cash daftar foto bpkb,"Please help make it easy to register the fate of people who buy cash vehicles, register for BPKB photos"
oke,Okay
penting,important
mantap indonesa,steady indonesia
sebentar login ulang repot,"please wait a minute, re-login is a hassle"
aplikasi sempurna,perfect application
subsidi tepat error muncul pilih uninstall,right subsidy error appears select uninstall
barcode mypertamina akun muncul,mypertamina account barcode appears
oke,Okay
mau sih pertamina bikin susah masyarakat ambil foto ktp suruh lengkap data kecewa,"Pertamina wants to make it difficult for people to take photos of their ID cards and ask them to complete their data, they're disappointed"
login login via browser aplikasi,login login via browser application
aplikasi daftar,list application
,#VALUE!
daftar hasil kode qr muncul san muncul tulis muat ulang,list of qr code results appears and appears write reload
capai daftar akun verifikasi tinggal daftar kendara masuk ganggu pakai laptop,"reach the list of verified accounts, just register, enter the vehicle, disturb using a laptop"
sooooo,sooooo
mudah transaksi bahan bakar minyak,easy fuel oil transactions
praktis,practical
mudah,easy
bantu,help
lokasi,location
keren bantu kala pegang uang tunai isi tangki kosong,"Cool, helpful when holding cash in an empty tank"
login gagal sistem coba,login failed system try
daftar kendara bulan respon,vehicle list month response
susah daftar unggah foto menu daftar pakai indonesia harus error parah,hard to register upload photo menu register using Indonesian must have severe error
verifikasi tolak suruh masyarakat pakai aplikasi beli bahan bakar minyak aplikasi pakai baik aplikasi kacau,verification reject order people to use application to buy fuel application use good application chaotic
spbu rata mypertamina palembang daerah camat sukarami talang jambi,"Mypertamina flat gas station in Palembang, Sukarami sub-district, Talang, Jambi"
apa unggah stnk mobil plus nomor polisi ujung ujung nomor polisi sesuai,what upload car registration certificate plus police number the ends of the police number match
mudah,easy
alhamdulillah gampang cepat bikin foto mobil plat lihat foto stnk bela tinggal ikut aplikasi kode batang muncul menit langsung verifikasi tinggal unduh barcode print deh,"Thank God, it's easy and fast to take a photo of a car's license plate, see the STNK photo, just follow the application, the barcode will appear in minutes, verify it immediately, just download the barcode and print it"
update baru belit belit,new update twists and turns
sulit isi bensin pakai aplikasi login ambil foto ktp aplikasi ulang sulit,"It's hard to fill up with petrol using the login application, taking a photo of your ID card is difficult, re-applying is difficult"
mudah,easy
tolong direktur pertamina slogan sesuai realita lapang slogan ganti gantung realita isi bahan bakar minyak manfaat mayoritas spbu khusus spbu kota medan cari untung isi full tank manfaat cari untung isi full tank isi contoh rp ribu kasih bukti admin bukti,please director of pertamina slogan according to field reality slogan change hanging reality fill fuel oil benefits majority of gas stations especially gas stations in Medan city looking for profit fill full tank benefits looking for profit fill full tank fill example rp thousand give proof admin proof
barcode salah tugas spbu isi mobil timbun bahan bakar minyak legal lapor,wrong barcode gas station task fill car hoard fuel oil legal report
sulit,difficult
,#VALUE!
bantu,help
daftar tolak alas nomor polisi salah,list of invalid police number plates
ganggu isi pertamax,disturb pertamax content
daftar tolak,reject list
parah sih daftar selalu sistem masalah coba selalu masyarakat harus pakai barcode sulit administrasi,"It's really bad, the list is always a problem, the system is always trying, people have to use barcodes, the administration is difficult"
akurat mudah transaksi,accurate easy transaction
gagal handphone kamera kentang,failed potato camera phone
oke,Okay
aplikasi lol negara lol,lol country lol app
aplikasi error paksa susah rakyat isi bahan bakar minyak sih capai isi data foto gilir kirim data respon sma loading kek indikasi tanda gagal jaring,"application error forced people to fill up fuel oil, it's hard to fill in photo data, take turns sending data, response and loading like an indication of a network failure"
driver gojek hubung gopay mantap mudah uang tunai,Gojek driver connect Gopay steady easy cash
mypertamina mudah isi bahan bakar minyak,mypertamina is easy to fill with fuel oil
,#VALUE!
foto stnk respon,STNK photo response
buruk bantu daftar kendara keluarga unggah foto stnk foto langsung inti buruk buruk,bad help register family vehicle upload photo of vehicle registration certificate direct photo core bad bad
praktis,practical
aplikasi orang bodoh daftar otp masuk ulang slide coba ulang pemberitahuan nomor daftar coba langsung masuk nomor daftar akun blokir astaga mabuk kecubung logika masuk program daftar aplikasi kek gin,stupid people application register otp re-enter slide retry notification register number try to enter directly register number account block oh my gosh drunk amethyst logic enter program register application kek gin
tolong akun blokir admin,please block admin account
tolong metode bayar dana guna dana mudah transaksi ovo gopay linkaja,please pay method for easy fund transactions ovo gopay linkaja
spbu daerah sumbar riau bayar mypertamina,West Sumatra Riau gas station pays MyPertamina
daftar nomor handphone pin unduh aplikasi,list of mobile phone numbers pin download application
bagus,Good
sulit daftar tambah data tolong baik aplikasi,difficult to register add data please improve the application
mudah beli bahan bakar minyak sesuai jenis kendara online orang jual barcode sesuai spek kendara ktp coba,"it's easy to buy fuel oil according to your vehicle type online, people sell barcodes according to your vehicle's ID card specs, try it"
keren,Cool
bagus,Good
bagus,Good
,#VALUE!
bagus,Good
good,good
susah daftar mudah masyarakat sulit buruk,hard to register easy society difficult bad
mudah,easy
oke bantu layan cepat,okay help fast service
aplikasi tarik tampil fungsi aplikasi playstore tampil layar utama nama ahh,pull application display function playstore application display main screen name ahh
daftar unduh pilih daftar aneh rusak,download list select strange list broken
mantap beli pakai mypertamina leb praktis cepat,"great, buy using mypertamina, more practical, fast"
praktis mudah,practical easy
alhamdulillah,thank God
tolak verifikasi alas daftar korlantas samsat urus database muncul korlantas tolak,"reject verification of the basis for registering the traffic corps, the Samsat administration database appears, the traffic corps rejects"
mantap,Excellent
baik,Good
,#VALUE!
,#VALUE!
barcode subsidi buka aplikasi masuk data nik salah nik ubah,barcode subsidy open application enter NIK data wrong NIK change
aplikasi baja,steel applications
mantap,Excellent
error parah foto ktp error parah sih,serious error ktp photo serious error
oke,Okay
unggah foto daftar fungsi aplikasi bumn masalah andan daerah merk pertamina,"upload photo list of functions of the BUMN application, your regional problems, Pertamina brands"
oke,Okay
login kode otp kunjung muncul via whatsapp,login otp code will appear via whatsapp
aplikasi payah bolak daftar kendara tolak tulis data pakai data data sesuai ktp stnk tolak,The application is difficult to go back and forth between the vehicle registration and refuse to write data using the data according to the ID card and the vehicle registration is refused
,#VALUE!
aplikasi bagus minus hutang,good app minus debt
oke,Okay
aplikasi sulit baru barcode cek ricek detik barcode biar baru laksana kerja banyak kkn,new difficult application barcode check check second barcode so that new like work many kkn
sistem buruk daftar subsidi salah sistem unggah data biar beli pertalite,"bad system, wrong subsidy list, wrong data upload system to buy Pertalite"
good,good
need improvement,need improvement
aplikasi rusak error barcode isi suruh refresh benar tuh error jaring lancar install ulang error,application is broken error barcode content asked to refresh is correct error network is smooth reinstall error
coba tambah fitur pilih foto galeri daftar unit kendara efektif kondisi stnk tempat fitur ambil foto langsung foto,"try adding the feature to select a gallery photo list of effective vehicle units, STNK conditions, location, feature to take photos directly, photo"
salah sistem,system error
bayar eh update sebal tunggu aneh tanggal desember poin transaksi tanggal desember tahun poin hangus sistem,pay eh update annoyed wait strange December transaction point December year point expired system
isi masyarakat bikin susah,society content makes it difficult
pakai spbu aplikasi luncur alat bayar spbu indonesia,use gas station application launch gas station payment tool indonesia
suka,Like
sulit,difficult
bagus,Good
maksud bagus biar data sayang aplikasi pakai input data mobil error habis anggar aplikasi masyarakat nikmat,good intention so that data dear application use data input car error finished fence application community enjoy
terima kasih perintah susah rakyat premium pertalite pakai daftar barcode hari daftar foto sulit jaring telkomsel buruk isi pertamax terima kasih susah susah rakyat,"thank you, the people's hard command, premium pertalite, use the barcode list, the photo list is difficult, the Telkomsel network is bad, fill Pertamax, ... use the barcode list, the photo list is difficult, the Telkomsel network is bad, fill Pertamax, thank you, the people's hard command, use the barcode list, the photo list"
oke,Okay
mudah,easy
oke,Okay
sulit,difficult
tatap cuy,look at me dude
,#VALUE!
update data menu ambil foto ktp hasil foto tampil kosong ulang ulang ulang tunggu data otp menu gilir data otp masuk expired,update data menu take photo of ID card the photo result appears blank repeat repeat wait for OTP data menu rotate OTP data entered expired
susah,difficult
mantap,Excellent
selagi niat dukung allah swt,as long as the intention is to support Allah SWT
jijik aplikasi perintah bikin sulit tolol,disgusting command app makes it hard idiot
sistem beli bensin error beli bensin pom tunggu jam,petrol purchase system error buy petrol pump wait hours
aplikasi kelas nasional,national class application
daftar barcode enak pakai foto file aplikasi live buram kamera hasil,barcode list nice to use photo file live application blurry camera results
daftar kendara tulis salah sistem aplikasi teknologi alternatif buang buang,"list of vehicles, write down the wrong alternative technology application system for waste disposal"
good,good
aplikasi error,application error
isi motor tugas mypertamina error kaya jawab spbu error mypertamina,fill the motor task mypertamina error like answer gas station error mypertamina
aplikasi sulit rakyat,people's hard application
mantap lancar cepat,steady smooth fast
mantap,Excellent
bayar pajak ganti plat nomor material kertas stnk satlantas habis bekal stempel lembar bpkb tentu laku ganti stnk update mypertamina nomor polisi kendara tolak foto tanda bukti lunas wajib bayar aplikasi solutif sulit,pay tax change number plate paper material stnk satlantas run out of stamp supplies bpkb sheet certainly valid change stnk update mypertamina police number vehicle reject photo proof of payment must pay solution application difficult
muat laman subsidi,load subsidy page
isuzu traga roda nomor polisi mobil daftar mypertamina noka nomot plat valid kabupaten daerah tinggal aplikasi kecewa tolong baharu,isuzu traga wheel police number car list mypertamina noka valid plate number district area of ​​residence application disappointed please update
aplikasi perintah error salah sistem ikut instruksi aduh anak magang,application command error wrong system follow instructions oh intern
sdm daftar ketik daftar masuk registrasi definisi sulit,sdm register type register login registration definition difficult
praktis,practical
maksimal terap,maximum application
aplikasi guna,application for use
good,good
bantu,help
bantu,help
terima kasih mypertamina berkat aplikasi subsidi bahan bakar minyak hafal nomor nik nomor rangka unggah data gagal mantap tahan,"Thank you MyPertamina, thanks to the fuel subsidy application, memorize the NIK number, chassis number, upload data failed, steady, hold on"
oke,Okay
sempurna,perfect
baik,Good
aplikasi buruk habis uang negara layak makan uang haram zholim laknat orang terzolimi,"bad application, draining state money, worthy of eating haram money, oppressive, cursed oppressed people"
aju formulir aju banding kendara bikin barcode my pertamina kali email masuk tolak maju indonesia calo bikin gampang mudah,"Submit a form to submit an appeal, make a barcode, my Pertamina, incoming email, reject forward, Indonesia brokers make it easy, easy"
daftar gagal ubah data ubah data hasil roda roda verifikasi daftar kendara gagal terang subsidi khusus roda ubah data update mohon cerah terima kasih,list failed to change data change data wheel results wheel verification vehicle list failed clear special subsidy wheel change data update please bright thank you
mantap,Excellent
aplikasi,application
rumit,complicated
guna mudah memper sulit buruk daftar susah mental kocak,easy to make difficult bad list difficult mental funny
,#VALUE!
bantu,help
aplikasi sumpah sial nafas terakir sanggup resign,application swears unlucky last breath able to resign
izin kare terbit barcode,permission due to barcode issuance
sulit aplikasi buruk loading bikin antri,hard bad application loading makes queue
tolong kembali unggah foto stnk galeri sulit foto langsung mobil diam tempat butuh makan,"please re-upload the STNK photo gallery, it's difficult to take a direct photo of the car, it's still, the place needs food"
mantap,Excellent
sulit,difficult
aplikasi lot daftar isi bahan bakar minyak subsidi gilir daftar mypertamina tanggap,fuel oil subsidies list application rotating list mypertamina respon
klaim kode qr susah ampun aplikasi biar mudah sulit payah,"claim qr code is hard, application to make it easy, it's hard work"
manfaat,benefit
pasang promo cashback astrapay maret hilang promo transaksi,Install Astrapay cashback promo March lost transaction promo
bagus,Good
tunjang layan jasa,support service
bagus aplikasi mohon barcode cepat,good app please fast barcode
aplikasi bikin pusing,dizzying app
susah buka,hard to open
nomor polisi kendara sesuai deh sesuai tulis stnk aplikasi baik deh,"the vehicle registration number matches the written STNK, the application is good"
gagal mem foto stnk kendara daftar,failed to take photo of vehicle registration certificate
oke,Okay
buruk daftar sulit,bad list hard
foto mobil eh verifikasi ulang,car photo eh re-verify
aplikasi sistem ngawur deploy playstore uji kah salah sistem layan evaluasi rekrut sdm daftar kendara roda tulis roda sistem mending mundur habis anggar balas bot,application system is crazy deploy playstore test is it wrong system service evaluation recruit human resources register vehicle wheel write wheel system better to retreat finished budget reply bot
sial sial aplikasi daftar susah link kirim periksa whatsapp reset pin pesan sial gin deh beli mi arus daftar,damn damn application register hard link send check whatsapp reset pin message damn let me buy noodles register flow
susah kode barcode gagal,barcode code failed
pertamina,oil
,#VALUE!
mohon maaf admin guna bahan bakar minyak dexlite bayar aplikasi coba kali gagal jaring stabil tolong baik,"Sorry admin, I use Dexlite fuel to pay for the application. I tried several times but the network is stable. Please be kind."
alhamdulillah lancar aman,thank God everything went smoothly and safely
aplikasi daftar baca muat ulang coba siang malam,reading list application reload try day and night
aplikasi mutu gambar salah sistem kali kali benah sistem biar lancar aplikasi mudah sulit email respon aplikasi sial,image quality application wrong system please fix the system so it runs smoothly easy application difficult email response unlucky application
aplikasi sampah stnk plat nomor roda bilang tugas spbu barcode daftar roda suruh samsat urus hubung coba aplikasi hadir mudah sulit,garbage application stnk number plate wheel said task gas station barcode register wheel tell samsat take care of connect try application present easy difficult
good,good
puas,satisfied
sulit daftar sesuai,hard to register accordingly
salah sistem daftar kendara halo admin coba baik aplikasi maka juta umat indonesia error bagus aplikasi manfaat kaya gin,"Wrong vehicle registration system, hello admin, try the application, millions of Indonesians have an error, the application has good benefits like gin"
alaahhhh susah aplikasi cilikkkk keluh keluh gilir uang cepat reng arak korupsi gilir arak arak daftar sulit zaman kesal panas handphone uang,"alaahhhh it's hard for the little application to complain, complain, turn money fast, wine corruption, turn wine wine list, it's difficult, the era of being annoyed, hot, cellphone money"
aplikasi suruh unduh,application ask to download
aplikasi bikin susah rakyat,application makes people difficult
lambat,slow
,#VALUE!
bagus lancar,good smooth
maaf kali beli bahan bakar minyak pakai aplikasi mypertamina mudah aman uang cash,"sorry, this time buying fuel oil using the mypertamina application is easy, safe, cash"
foto stnk aplikasi fungsi tolong baik biar aplikasi aplikasi crypto sat set langsung,STNK photo application function please be good so that the application crypto sat application is set directly
,#VALUE!
bantu,help
pertamina oye,pertamina oil
guna bayar beli bahan bakar minyak spbu pertamina,to pay for fuel at Pertamina gas stations
aplikasi bodoh data sesuai gagal mobil xenia gin hidup negara,stupid application data according to fail car xenia gin live country
didik bikin aplikasi ujung akses web buruk,educate make application end access bad web
bulan daftar coba coba emosi tingkat salah sistem mau coba data isi lengkap gilir akun salah sistem sistem buruk malu,month list try try emotion level wrong system want to try data fill in complete account rotation wrong system bad system embarrassed
bantu,help
aplikasi mentok foto stnk mobil foto masuk daftar aplikasi daftar susah ampun beli pertalite bikin sulit gin beli pertalite,"the application is stuck with a photo of the vehicle registration certificate, the photo is on the application list, it's really hard to buy Pertalite, it makes it difficult to buy Pertalite"
buruk pindai salah dark mode handphone ckckck anggar aplikasi newbie,bad scan wrong dark mode cellphone ckckck fence application newbie
lanjut data unit,continued unit data
admin tolong daftar barcode unggah stnk galeri minta tolong keluarga daftar susah foto stnk foto langsung,Admin please register barcode upload STNK gallery ask for help family register difficult STNK photo direct photo
registrasi kali ambil foto shame on you,registration this time take photo shame on you
sulit mesti gampang isi bahan bakar minyak,difficult but easy to fill up with fuel
uud,law
susah rakyat daftar repot,"it's hard for people to register, it's a hassle"
status daftar nomor polisi yaaak admin,"police number list status, admin"
mantap tinggal pindai qris mesin operasi masalah input manual,steady just scan qris machine operation manual input problem
isi bahan bakar minyak spbu isi tugas isi transaksi,fill fuel oil gas station fill task fill transaction
oke,Okay
oke,Okay
aplikasi daftar web hasil aplikasi hasil hapus akun aplikasi terang proses mutu suka uang kerja,application list web application results results delete account application bright process quality like money work
bantu poin,help points
aplikasi guna,application for use
lancar jaya,smooth sailing
isi bensin sulit bikin barcode menu bantu video call nomor antri tunggu jam,filling petrol is difficult to make a barcode menu help video call queue number wait hours
aplikasi ambil foto ktp,ktp photo taking application
daftar verifikasi bayar bank pasang nomor orang takut nomor verifikasi handphone orang,"list of bank payment verifications, install people's numbers, afraid of verifying people's cellphone numbers"
aplikasi,application
coba moga mudah lancar isi bahan bakar minyak sukses mypertamina aamiin,"Hopefully it will be easy and smooth to fill up with fuel, success at MyPertamina, amen"
bagus,Good
bagus layan mantap,"good service, steady"
akurat,accurate
aplikasi bagus batas guna bahan bakar minyak subsidi,good application for subsidized fuel oil usage limits
oke,Okay
aju ganti milik tolak data sesuai sulit beli bahan bakar minyak,change ownership request reject data according to difficulty buying fuel oil
aplikasi tolol daftar salah sistem,stupid application list system error
good,good
mantap lancar jaya,"steady, smooth and victorious"
aplikasi pakai dompet digital dana,application using digital wallet funds
aplikasi kaya sial daftar gagal,rich app shit register failed
spbu semarang mypertamina,mypertamina gas station semarang
aplikasi aneh isi data lengkap masuk daftar aplikasi perintah indonesia lambat sulit daftar login sulit rakyat bisa,strange application fill in complete data enter list of Indonesian command applications slow difficult register login difficult people can
aplikasi buruk pin nomor telepon lucu,bad app funny phone number pin
te,you
tolol cacat barcode susah sulit foto stnk ambil gambar,stupid defect barcode difficult difficult photo vehicle registration certificate take picture
mantap,Excellent
oke,Okay
admin desa lengkap sih jawa timur tulungagung boyolangu desa serut malam akun paksa pilih lurah boyolangu,"complete village admin, East Java, Tulungagung, Boyolangu, Serut village, night, forced account to choose the village head of Boyolangu"
login sulit,login difficult
struk beli bayar mypertamina enak transaksi,"MyPertamina purchase receipt, easy transaction"
pilih edit data transportasi,select edit transportation data
unggah data kendara gagal pemberitahuan salah sistem mohon baik,Uploading vehicle data failed system error notification please OK
mantap,Excellent
pekan desember tanggal jan nomor polisi sesuai telepon respon mesin email alamat lampir arah template ubah data baharu data unggah data arah ambil foto unit langsung sesuai pandu tolak alas nomor polisi sesuai,december week date jan police number according to phone machine response email address attach direction template change new data data upload data direction take photo unit directly according to guide reject base police number according to
sandi klaim arah tolong reset,claim password direction please reset
pertamina beres daftar kali kali barcode mobil innova alfard isi pertalite barcode pertamina rugingak beres,"pertamina is finished, register times, barcode for innova alfard cars, fill with pertalite, barcode ..."
